   Node |    u            v           fint-u       fint-v       S11          S22          S12          
----------------------------------------------------------------------------------------------------
     0  |    0.000e+00    0.000e+00   -2.495e+02   -7.460e+01    3.848e+03    6.734e+02    3.647e+02   
     1  |    7.054e-02    5.129e-02    1.000e+03   -4.192e-13    9.838e+03   -1.450e+03   -2.917e+03   
     2  |   -1.050e-02    2.415e-02   -2.882e-14   -4.470e-13   -3.364e+01   -3.283e+01    3.019e+01   
     3  |    0.000e+00    0.000e+00    1.066e+02   -2.835e+01   -1.608e+03   -2.614e+02    1.116e+02   
     4  |    4.355e-03    2.228e-03    0.000e+00    3.797e-14    3.764e+03    3.480e+02    1.727e+02   
     5  |    8.392e-03    3.531e-03   -1.705e-13    7.017e-14    3.725e+03    2.763e+01   -5.889e+01   
     6  |    1.258e-02    5.146e-03   -7.958e-13    5.063e-14    3.877e+03    3.515e+01   -1.339e+02   
     7  |    1.709e-02    7.215e-03   -6.253e-13   -2.593e-13    4.177e+03    5.530e+01   -2.302e+02   
     8  |    2.216e-02    9.888e-03    1.023e-12    6.040e-14    4.688e+03    1.113e+02   -4.085e+02   
     9  |    2.823e-02    1.338e-02    2.274e-13   -4.334e-13    5.553e+03    2.365e+02   -7.688e+02   
    10  |    3.632e-02    1.831e-02    9.095e-13   -4.974e-13    6.970e+03    5.664e+02   -1.549e+03   
    11  |    4.886e-02    2.662e-02    4.547e-13    5.684e-14    8.841e+03   -3.205e+02   -2.502e+03   
    12  |    2.990e-02    4.331e-02   -4.405e-13    6.253e-13    4.626e+03   -2.344e+03   -1.080e+03   
    13  |    1.798e-02    3.631e-02   -3.020e-13    3.411e-13   -2.909e+02   -3.010e+03    6.891e+02   
    14  |    1.048e-02    3.150e-02    2.167e-13    3.411e-13   -3.662e+01   -2.462e+03    5.450e+02   
    15  |    5.604e-03    2.833e-02    1.918e-13    1.762e-12   -5.559e+01   -1.829e+03    4.201e+02   
    16  |    1.921e-03    2.624e-02    1.812e-13   -3.268e-13   -3.225e+01   -1.246e+03    3.355e+02   
    17  |   -1.169e-03    2.498e-02    2.380e-13    6.466e-13   -3.237e+01   -7.496e+02    2.649e+02   
    18  |   -4.102e-03    2.435e-02    1.776e-15    2.025e-13   -4.029e+01   -3.621e+02    1.840e+02   
    19  |   -7.179e-03    2.416e-02    3.175e-13    9.504e-14   -3.996e+01   -1.160e+02    8.431e+01   
    20  |   -1.049e-02    2.072e-02   -9.637e-14   -1.683e-13   -1.155e+02   -3.516e+01    8.047e+01   
    21  |   -1.031e-02    1.707e-02    4.974e-14    3.766e-13   -3.417e+02   -2.422e+01    1.581e+02   
    22  |   -9.762e-03    1.330e-02    1.990e-13    2.220e-13   -6.495e+02   -1.025e+00    1.848e+02   
    23  |   -8.778e-03    9.709e-03    1.705e-13   -2.078e-13   -9.593e+02    1.386e+01    1.667e+02   
    24  |   -7.402e-03    6.551e-03   -9.948e-14   -1.137e-13   -1.216e+03    2.051e+01    1.247e+02   
    25  |   -5.735e-03    4.007e-03    7.105e-14    1.688e-14   -1.396e+03    1.958e+01    7.566e+01   
    26  |   -3.901e-03    2.158e-03    2.842e-14    1.887e-14   -1.501e+03    1.881e+01    3.373e+01   
    27  |   -1.997e-03    1.009e-03    0.000e+00   -1.132e-14   -1.572e+03   -1.204e+02    6.398e+01   
    28  |    0.000e+00    0.000e+00    1.298e+02    3.084e+00   -1.253e+03   -2.125e+02    5.598e+01   
    29  |    0.000e+00    0.000e+00    6.184e+01    1.369e+01   -5.983e+02   -9.089e+01   -3.710e+01   
    30  |    0.000e+00    0.000e+00   -2.201e+00    2.117e+01   -4.658e+00    6.439e+01   -1.001e+02   
    31  |    0.000e+00    0.000e+00   -6.753e+01    2.588e+01    5.978e+02    2.291e+02   -1.406e+02   
    32  |    0.000e+00    0.000e+00   -1.358e+02    2.711e+01    1.233e+03    3.875e+02   -1.513e+02   
    33  |    0.000e+00    0.000e+00   -2.071e+02    2.227e+01    1.905e+03    5.280e+02   -1.107e+02   
    34  |    0.000e+00    0.000e+00   -2.791e+02    7.177e+00    2.601e+03    6.312e+02    1.307e+01   
    35  |    0.000e+00    0.000e+00   -3.570e+02   -1.743e+01    3.399e+03    6.717e+02    2.326e+02   
    36  |   -7.148e-03    2.075e-02    4.086e-14    2.061e-13   -1.187e+02   -1.072e+02    1.603e+02   
    37  |   -4.175e-03    2.094e-02    2.238e-13   -4.459e-13   -1.064e+02   -3.004e+02    3.034e+02   
    38  |   -1.390e-03    2.139e-02    1.315e-13    6.595e-13   -8.090e+01   -5.745e+02    4.121e+02   
    39  |    1.528e-03    2.214e-02   -3.517e-13   -1.087e-12   -6.870e+01   -8.919e+02    4.893e+02   
    40  |    5.013e-03    2.319e-02   -1.563e-13   -2.071e-12   -6.774e+01   -1.201e+03    5.359e+02   
    41  |    9.745e-03    2.442e-02    9.592e-14   -7.283e-14   -2.366e+01   -1.407e+03    5.121e+02   
    42  |    1.677e-02    2.542e-02   -6.590e-13    4.694e-13    3.469e+02   -1.279e+03    1.426e+02   
    43  |    3.008e-02    2.475e-02   -2.871e-12    3.411e-13    4.756e+03   -7.050e+02   -1.345e+03   
    44  |   -6.943e-03    1.698e-02    5.004e-13   -2.842e-14   -3.173e+02   -6.271e+01    2.727e+02   
    45  |   -4.078e-03    1.698e-02   -7.638e-14    3.020e-13   -2.507e+02   -1.462e+02    4.648e+02   
